expenditure,wealth,income,pop,pop_dens,perc_intergov,grow_rate
304,66285,18391,22903,403,8.3,22.2
182,46765,14914,16047,603,7.3,12.5
162,46469,15370,21322,576,12.3,2.2
228,69311,20017,13454,339,11.4,7.3
332,96465,16640,1940,54,12.1,13.6
233,100478,13532,2068,48,13.6,9.1
284,146621,19251,4008,95,12.9,4.6
290,74912,13851,2305,75,9,4
190,64879,17274,8297,252,10.4,17
338,55681,18079,40262,1398,7.1,1.5
124,56296,14357,6894,204,13.7,13.2
225,87972,17118,4896,141,13,6.9
246,102451,19220,3530,71,11.7,5.3
413,103928,17729,3761,100,13.3,34.6
162,55463,19035,21350,815,9.2,-1.2
320,150468,28905,3160,55,10.7,3.3
150,23021,11442,7977,251,11.8,4.1
356,39000,19457,106816,2054,20.2,3.3
231,43780,18445,6729,199,14,-4
213,32209,16523,7397,207,15,-3.1
305,31515,11967,1624,70,17,-16.8
336,29323,13339,76354,3235,8.8,-8.6
220,47986,18206,20420,382,12.5,10.4
250,35078,13695,2853,80,13.1,-7.3
148,16583,8946,6217,129,15,19.5
144,33740,12174,4115,62,14.9,4.9
276,27977,13472,7434,187,11.2,1.2
173,37696,18439,10311,299,12.1,-2.1
409,23840,12096,15163,375,6.3,-2.7
223,35137,17581,17719,620,6.9,4.7
325,31723,14364,40592,1077,8.3,2.5
227,26074,12102,3597,101,11.3,3.7
270,33652,13208,20872,593,8.6,18.5
130,27588,13542,5328,193,19.4,8
159,37664,12706,4589,93,17,6.4
189,30634,12056,2141,51,6.9,-5.6
280,41125,18274,21485,578,8,3.2
195,32327,11694,2642,53,24.4,-4.5
415,32832,14739,63782,3666,13.5,-10.3
144,31136,14118,2932,82,24.4,2.6
356,27045,13990,47154,2203,5.6,-6.6
305,39865,10728,2241,28,59.7,-5.5
377,31741,9044,1988,26,31.7,6.9
390,47508,10576,1323,16,7.4,3.7
686,62551,11173,648,21,13.4,-21.9
359,35577,11168,2249,33,26.4,1
947,186722,12760,906,6,8.5,-1.2
417,38262,11269,1084,13,13,14.6
1059,196761,11010,753,5,22.9,-2.9
248,18192,9719,3607,55,9.1,-1.8
2627,329034,13993,517,2,4.6,-20.1
398,78108,10523,5641,37,7.4,31.1
1518,168935,8993,283,2,21.3,48.6
215,48245,11984,1369,24,21,189
862,175919,10826,1744,13,8.4,7.2
453,84967,11977,2355,29,11.3,-4.8
421,73905,13580,923,16,17.7,9.8
356,62200,11423,1731,41,23.3,-1.3
655,67668,10444,1014,16,24.6,-2.9
